Model,NetworkSize,NetworkType,AvgMessagesSent,FinalPhiPercentage,FinalNotPhiPercentage,FinalIndPercentage
1,100,barabasi_albert,84.18,50.0,50.0,0.0
1,100,erdos_renyi,69.08,52.0,48.0,0.0
1,100,watts_strogatz,69.95,47.0,53.0,0.0
1,200,barabasi_albert,134.53,47.0,53.0,0.0
1,200,erdos_renyi,160.4,57.0,43.0,0.0
1,200,watts_strogatz,134.16,54.0,46.0,0.0
1,300,barabasi_albert,190.23,50.0,50.0,0.0
1,300,erdos_renyi,205.0,50.0,50.0,0.0
1,300,watts_strogatz,206.58,44.0,56.0,0.0
1,400,barabasi_albert,252.99,50.0,50.0,0.0
1,400,erdos_renyi,234.17,56.0,44.0,0.0
1,400,watts_strogatz,284.75,46.0,54.0,0.0
1,500,barabasi_albert,341.61,47.0,53.0,0.0
1,500,erdos_renyi,299.44,43.0,57.0,0.0
1,500,watts_strogatz,341.23,54.0,46.0,0.0
1,600,barabasi_albert,424.42,54.0,46.0,0.0
1,600,erdos_renyi,380.92,54.0,46.0,0.0
1,600,watts_strogatz,374.75,51.0,49.0,0.0
1,700,barabasi_albert,499.76,51.962857142857146,48.01142857142857,0.02571428571428571
1,700,erdos_renyi,426.21,51.0,49.0,0.0
1,700,watts_strogatz,523.33,44.04714285714286,55.885714285714286,0.06714285714285714
1,800,barabasi_albert,537.28,50.20375,49.5975,0.19875
1,800,erdos_renyi,511.19,51.99625,48.00125,0.0025
1,800,watts_strogatz,510.09,47.01625,52.965,0.01875
1,900,barabasi_albert,548.09,49.99555555555555,50.001111111111115,0.003333333333333333
1,900,erdos_renyi,594.41,50.99666666666667,49.0,0.003333333333333333
1,900,watts_strogatz,613.48,53.102222222222224,46.714444444444446,0.18333333333333332
1,1000,barabasi_albert,640.17,56.887,43.028,0.085
1,1000,erdos_renyi,645.39,48.993,50.981,0.026000000000000002
1,1000,watts_strogatz,684.54,43.129,56.52499999999999,0.3460000000000001
2,100,barabasi_albert,67.61,51.0,49.0,0.0
2,100,erdos_renyi,72.65,50.0,50.0,0.0
2,100,watts_strogatz,91.27,55.0,45.0,0.0
2,200,barabasi_albert,157.47,61.0,39.0,0.0
2,200,erdos_renyi,137.91,52.0,48.0,0.0
2,200,watts_strogatz,143.39,41.0,59.0,0.0
2,300,barabasi_albert,216.83,46.0,54.0,0.0
2,300,erdos_renyi,219.42,45.0,55.0,0.0
2,300,watts_strogatz,211.41,56.0,44.0,0.0
2,400,barabasi_albert,301.28,52.0,48.0,0.0
2,400,erdos_renyi,309.19,54.0,46.0,0.0
2,400,watts_strogatz,275.83,43.0,57.0,0.0
2,500,barabasi_albert,340.0,54.0,46.0,0.0
2,500,erdos_renyi,337.03,46.0,54.0,0.0
2,500,watts_strogatz,326.0,45.0,55.0,0.0
2,600,barabasi_albert,437.65,46.43333333333334,53.348333333333336,0.21833333333333332
2,600,erdos_renyi,427.4,47.0,53.0,0.0
2,600,watts_strogatz,398.82,53.0,47.0,0.0
2,700,barabasi_albert,471.01,43.0,57.0,0.0
2,700,erdos_renyi,433.45,46.981428571428566,53.005714285714284,0.012857142857142855
2,700,watts_strogatz,425.63,46.0,54.0,0.0
2,800,barabasi_albert,548.17,39.99625,59.9975,0.00625
2,800,erdos_renyi,501.11,58.91375,41.04,0.04625
2,800,watts_strogatz,513.81,55.99875,43.995,0.00625
2,900,barabasi_albert,650.86,47.02222222222222,52.93444444444445,0.04333333333333333
2,900,erdos_renyi,591.43,49.92222222222222,49.967777777777776,0.11
2,900,watts_strogatz,650.3,54.27555555555556,45.5,0.2244444444444444
2,1000,barabasi_albert,659.18,55.875,44.03,0.095
2,1000,erdos_renyi,679.24,50.91400000000001,48.91799999999999,0.168
2,1000,watts_strogatz,653.54,56.971,42.98799999999999,0.04100000000000001
